Date,Open,High,Low,Close,Adj Close,Volume
2021-02-16,2.460778,2.556500,2.364277,2.416305,2.416305,17017255
2021-02-17,2.416191,2.639428,2.391207,2.584538,2.584538,24431378
2021-02-18,2.584516,2.612871,2.476248,2.524032,2.524032,13265284
2021-02-19,2.524055,2.633299,2.452497,2.628047,2.628047,17161171
2021-02-20,2.628081,2.806437,2.541849,2.559403,2.559403,41971475
2021-02-21,2.560356,2.643118,2.524459,2.611616,2.611616,10655504
2021-02-22,2.611258,2.611258,2.214058,2.375713,2.375713,23155393
2021-02-23,2.375329,2.381811,1.721904,2.034847,2.034847,30431029
2021-02-24,2.034876,2.212562,1.966927,2.109945,2.109945,18333446
2021-02-25,2.109955,2.186966,1.939498,1.965594,1.965594,10213551
2021-02-26,1.963490,1.974750,1.752349,1.841283,1.841283,12318332
2021-02-27,1.839765,1.930943,1.816545,1.874649,1.874649,8426864
2021-02-28,1.874559,1.889055,1.656847,1.718716,1.718716,8121833
2021-03-01,1.719791,1.913264,1.719791,1.912858,1.912858,9406557
2021-03-02,1.912674,1.925280,1.826617,1.852629,1.852629,7088833
2021-03-03,1.852636,2.123841,1.845915,2.068789,2.068789,15684615
2021-03-04,2.068771,2.123647,1.954612,1.986995,1.986995,7573675
2021-03-05,1.986810,1.986810,1.860373,1.928805,1.928805,5834055
2021-03-06,1.928790,2.013416,1.868171,1.938027,1.938027,6716345
2021-03-07,1.938003,1.986428,1.901468,1.964255,1.964255,4980092
2021-03-08,1.965200,1.984044,1.907629,1.965909,1.965909,4460915
2021-03-09,1.967958,2.069949,1.959494,2.048024,2.048024,8401916
2021-03-10,2.048068,2.060363,1.914869,1.994044,1.994044,6167329
2021-03-11,1.994004,2.047248,1.949118,2.013226,2.013226,6362273
2021-03-12,2.012997,2.020959,1.923804,1.953146,1.953146,4162246
2021-03-13,1.953171,2.000191,1.879648,1.983657,1.983657,6675508
2021-03-14,1.983634,1.988586,1.897670,1.914036,1.914036,3904653
2021-03-15,1.912651,1.925504,1.813324,1.875355,1.875355,4830138
2021-03-16,1.875533,1.881025,1.806187,1.863349,1.863349,3994534
2021-03-17,1.863975,1.884861,1.790190,1.873217,1.873217,4806379
2021-03-18,1.873066,1.876332,1.836371,1.849043,1.849043,2869590
2021-03-19,1.849096,1.917546,1.831215,1.887069,1.887069,3352994
2021-03-20,1.887091,1.930067,1.879260,1.898768,1.898768,3798615
2021-03-21,1.898764,1.924895,1.827310,1.873831,1.873831,3642426
2021-03-22,1.873864,1.896770,1.832601,1.846574,1.846574,4185346
2021-03-23,1.846610,1.904815,1.824984,1.897523,1.897523,2959087
2021-03-24,1.897369,1.972928,1.825987,1.834216,1.834216,5110178
2021-03-25,1.834096,2.198566,1.813538,2.050131,2.050131,25485031
